Number of Elements (n)	 Time (sec) 
10	0
100	1.00E-06
500	1.00E-06
1000	0
5000	0
10000	0
50000	1.00E-06
100000	3.00E-06
200000	3.00E-06
500000	5.00E-06
1000000	4.00E-06
2000000	6.00E-06
5000000	3.00E-06
10000000	1.00E-05
100000000	4.00E-06
500000000	5.00E-06
